BPS030214,LND110210,Density
3,998.94,8.7
39,1452.28,3.6
12,638.61,18.3
331,999.1,62.6
1416,562.17,709
51,439.28,45.7
184,637.3,56.5
8,712.48,20.4
45,861.3,24.2
26,707.09,44.2
64,756.84,61
0,548.16,11
4665,553.59,2081.7
44,552.06,34.5
18,925.68,22.1
170,435.79,86.8
117,2667.72,16.9
19,702.98,14.6
13,521.59,31.1
98,796.79,53
7,1098.8,4.1
9,3104.07,4.3
7,765.02,9.5
50,2109.29,5.2
11,1297.87,3.1
44,448.76,61.7
12,536.76,11
36,714.56,36.2
0,557.88,9.7
5,1775.07,5.3
16,712.35,29.3
37,491.47,74.6
42,608.18,38.3
46,572.31,45.6
89,1125.06,29.5
32,711.33,55.1
25,704.7,12.4
98,448.49,73
67,715.11,29.9
12,872.79,7.9
639,653.35,220.8
71,1972.07,29.1
16,616.57,22.6
57,1411.29,21.1
10,465.06,20.6
68,1971.13,16
45,669.71,16.4
728,152.21,3341.7
0,432.41,9.5
28,878.57,18.3
16,982.91,16
113,495.68,129.4
15,482.46,20.1
40,1671.6,9.3
894,356.48,364.5
245,432.92,204.4
17,588.78,25.9
466,6247.4,32
479,1343.13,112.2
49,429.65,85.1
14,563.6,17.3
10,742.08,13.2
68,944.98,26.3
7,573.9,6.2
97,522.98,41.4
45,536.27,25.8
15,423.36,45.2
752,384.28,619.7
6,434.95,25.8
12,750.96,8.8
109,626.21,82.2
550,661.46,188.5
14,759.1,13.8
54,567.32,45.1
4,432.7,40
1,547.3,10.4
3,692.24,36.9
13,778.25,45.7
2,591.92,21
1,836.69,20.4
0,704.06,27.1
0,617.91,20
