Income,INC110213,Poverty
21441,40674,14.9
23895,43734,17
21818,36646,18.5
28829,56733,11.1
21513,38642,17.8
22853,42221,16.4
20807,37236,19.5
29125,57348,9.5
22719,37189,15.1
19717,37586,14.8
24140,52061,13.5
21948,38016,17.3
24370,45362,15.4
20039,38874,18.1
17701,41189,13.2
25059,52186,11.7
23799,45376,14.7
24831,47366,13.3
24013,43633,17.5
19947,41856,18.7
22978,42110,17.8
22743,44346,14.5
26947,45949,13.3
23412,38410,17.8
20589,41637,17.7
18148,32668,26.5
28449,60466,11.1
21492,40295,16.8
22471,42676,16.4
24611,44136,12.7
26582,54115,10.8
29718,50929,10.9
22380,42089,21
20368,37626,21.4
20330,34252,20.3
27660,51766,11.7
18836,40359,19.1
20379,41759,19.7
19783,35430,23
22120,40204,15.8
24754,45321,21.9
20206,47892,15.8
22047,36236,19
21499,34685,14.2
19061,36372,31.5
22613,46615,17
25757,45775,19.1
20258,40140,16.3
25889,51667,15.5
24802,39038,15.8
16202,29379,27.9
23907,52939,11
31462,55018,11.2
22395,47766,14.1
32129,72359,6.2
18768,39469,18.6
22622,38704,15.3
26748,53451,12.5
22702,41551,16.9
23789,45622,15.7
23183,41136,16.2
19336,39470,22.9
22331,41739,13.6
29536,53076,13.4
20305,41061,15.1
25939,53972,12.3
18969,40451,18.6
19661,35261,18.1
20621,40979,19.9
20623,42571,18.6
36458,65594,10.3
18986,40023,19.9
19634,34619,21.5
21585,34620,13.8
18099,37788,21.7
18057,33239,20.2
24312,47584,13.5
25371,56453,11.2
22788,39652,12.9
23023,33334,22.2
22349,42331,19.2
20713,40478,16.8
20892,35260,20.7
22713,46217,15.3
24357,48066,14.9
20570,44051,17.6
20767,43039,15.7
21732,45129,19.4
33231,59055,15.4
22308,41184,24.5
20573,40965,18.6
24939,41617,12.1
30647,70380,7.4
25455,50214,12.9
21622,43231,21.9
24453,52200,14.5
26019,46313,12.4
25380,49935,19.2
26576,48256,9.4
24434,53016,12.5
37457,83773,5
25287,45045,16.4
25993,49434,10.6
27914,67157,7.5
24550,52410,12.3
22157,43269,16.5
32868,52215,8.3
23456,45294,13.7
26527,47058,12.9
34828,73732,7.6
29107,69301,7.4
27716,50905,10.8
25065,44264,12.8
25249,50657,12.1
25668,44683,11
29932,56836,9.9
26665,50030,10.1
37485,64403,12.8
26450,52545,10.9
24880,45961,13.2
25482,57353,8
24079,46912,12.5
27361,51681,11.7
22291,47068,13.5
26880,50149,13.6
26927,48875,9.8
26045,41108,14.1
28014,48468,8
27883,46939,13.6
21903,44069,7.9
27793,58922,8.8
26767,47861,8.7
26028,49594,14.4
19517,40282,26.2
26834,52198,7.9
26472,48530,10.7
26824,55170,8.5
25665,53904,10.2
22891,47862,13.9
23753,47649,12.6
24990,46004,16.3
27450,52160,10.6
26674,60115,10.6
22598,48208,16
23707,45389,13.1
34073,66252,8
26400,48961,11.7
24554,45633,10.9
21413,43928,14.8
24137,46019,10.7
25790,50695,12.6
29128,52350,9.2
29484,54247,16.9
23257,47569,11.9
25649,47447,10
26062,50802,11.6
25370,59915,11.6
24101,46623,13.1
25650,50759,9.7
35467,86112,5.5
28071,73098,7.8
25789,54017,11.8
25946,46517,16.4
26065,54551,13.1
27259,56480,10.3
28746,54206,15.4
25750,48026,9.8
22383,45000,15.7
28030,45714,9
28282,53057,8.3
20329,36928,16.9
25723,53657,9.4
36706,81540,5.7
25635,49698,10.8
25148,50507,9.2
23421,47468,15
29623,71598,6.5
25303,52510,12.2
19258,34733,23.7
25302,54336,8.2
24748,44426,11.6
19687,43013,17
19489,38710,19.1
20678,40580,18.7
21047,38579,18.6
19717,32951,20.1
19470,37716,19.9
26895,48627,20
21961,44363,17
19246,34969,21.2
21482,41169,14.3
23171,47964,13
23038,43458,16.1
23751,46516,15.8
24073,46002,13.6
18245,30962,21.9
27463,60350,8.9
16362,30302,23.3
19481,39385,16.5
25134,52838,10.6
20279,40204,17.6
29406,60936,9
25100,53826,10.2
26160,53931,13.3
22910,45992,17.8
18415,35897,21.1
20034,35483,20.6
18155,40120,22.8
19890,42393,14.7
16635,44092,9.9
18544,36311,20.9
