BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207
79,1334,-4.4,371,489,0,0,0,0,0,0
298,2775,7.6,938,1092,0,0,0,0,0,0
7925,85188,-0.3,26634,29906,3.8,0,2.6,0,7.5,27.9
6787,74910,2.6,22900,29443,7.5,0,2.4,0,8.2,27.6
5141,49754,-0.1,14370,18387,1.7,0,2.2,0,5.8,27.6
78629,886497,2.9,407551,403672,11.4,0.5,2.2,0.1,60.5,28.9
3615,29697,2.1,11729,13973,3.4,0,1.6,0,0,24.7
1648,15434,1.2,5403,6273,2.7,0,0,0,0,27.5
5031,58285,-0.8,14078,18467,0,0.4,4.2,0,4.1,27.8
738,6486,-1.7,2078,2828,0,0.9,0,0,0,0
33317,640229,3,110458,113155,10.9,0,6.1,0.1,20.9,29.9
5090,65594,3.8,25694,24646,0,0.6,5.4,0,37.6,29
44234,466399,3.7,151331,163433,8.9,0.5,3.1,0,14.4,27.8
8784,84928,3.5,31285,38812,0,1,3.3,0,9.1,28.3
26751,365099,4.7,76324,98528,4.6,0.3,3.8,0,5,29.4
10922,166924,1.1,38465,45012,7.1,0,3.3,0,12.8,25.4
1232,11917,0.7,3853,5259,8.5,0,0,0,0,0
2469,22056,0.6,10394,12874,2.2,0,0,0,2.6,31.5
12905,127514,1.7,38127,46390,2.1,0.2,1.5,0,5.3,26.2
12639,152363,1.6,38346,46725,5.4,0.3,3.4,0,11.2,28.8
5305,49016,6.1,18006,19871,2.3,0.5,2.7,0,4.9,26.1
5062,53629,-0.8,21562,24858,12.8,0,2.4,0,13.9,31.7
1319,17523,6.5,5521,5207,0,0,0,0,4.5,31.4
671,7738,-3.4,2307,3112,5.2,0,0,0,3.4,0
401,4447,-2.1,930,1475,0,0,0,0,0,0
135,1822,3.2,518,722,0,0,0,0,0,37.1
11972,131926,1.9,37963,46499,4.1,0,2.7,0,6.8,0
413,3101,4.8,1981,2750,0,1.3,0,0,0,0
1873,17445,-2.5,6588,7065,0,0,0,0,0,24.3
378,3751,-1.2,1400,1273,0,0,0,0,0,40.1
364,5222,-2.7,1170,1627,0,0,0,0,2.7,21.5
89,1115,1.5,514,582,0,0,0,0,0,27.5
214,2553,4.6,652,716,0,0,0,0,0,26.3
23,218,-5.2,193,133,0,0,0,0,0,30.1
815,12245,-1.8,2976,4071,0,0,1.6,0,1,26.6
264,2947,6,1236,0,0,0,0,0,0,0
1072,13953,0.9,5317,6370,0,0,0,0,0,30.2
1853,28229,3.7,7663,9679,7,0,2.5,0,0,28.2
318,4597,1.1,1154,1372,14.2,0,0,0,0,27.8
254,2815,-7.2,1061,1210,0,0,0,0,0,33.1
4060,71200,0.2,12382,14851,32.5,0.4,3.3,0,0,35.1
163,1469,-24.4,758,769,0,0,0,0,0,36.4
187,1232,-0.6,973,0,0,0,0,0,0,0
199,1986,-0.7,819,940,0,0,0,0,0,0
597,5686,7.2,2258,2749,0,0,0,0,0,30.6
1373,17227,-0.3,4308,6025,0,0,0,0,0,22.2
300,4993,-10.5,1381,1797,28.3,0,0,0,0,36.2
347,4048,4.6,1461,1731,0,0,0,0,0,21
74,725,-0.7,295,428,0,0,0,0,0,0
792,8460,5.9,2319,3332,0,0,0,0,0,33
200,2182,-4.4,776,1085,0,0,0,0,0,24
1988,31002,2.1,8017,9582,8.3,0,0,0,1.3,25.7
892,11569,-0.1,4002,4789,0,0,3.1,0,0,28.5
146,1804,1.5,507,763,0,0,0,0,0,21.4
7229,120438,2.3,19018,23990,23.5,0,4.4,0,1.1,33
97,1690,-5,251,341,36.4,0,0,0,0,29.3
295,4390,0.2,1348,2104,0,0,0,0,0,22.9
4830,42481,3.9,20922,22759,3.3,0,1.9,0,3.9,28.1
2912,44643,3.5,7804,10181,0,0.3,3.2,0,3.1,26
37,0,0,200,186,0,0,0,0,0,42.5
3767,70120,1.8,25549,23186,51.5,0,11.8,0,4.3,38.1
127,1806,7.8,428,513,0,0,0,0,0,22.8
19159,302767,-0.3,71103,77945,18.6,0.7,4.8,0.1,5.5,31.7
830,11855,-1.5,2837,3452,9.8,0,0,0,2,25.1
872,11360,2.6,2854,3290,0,0,0,0,0,25.2
2092,26336,1.8,8724,10081,7.4,0.6,5.7,0,3,32
299,2782,7.5,1002,1023,0,0,0,0,0,0
2109,28918,5.6,10042,11408,0,0,3.7,0,3.1,32
101,548,0.2,851,560,0,0,0,0,0,34.1
514,6614,3.7,1610,1847,0,0,0,0,0,0
214,2718,2.3,1069,1411,0,0,0,0,0,27.4
588,6340,0.3,2055,3229,0,0,0,0,0,16.2
578,6459,2.2,1854,2725,29,1.3,0,0,2,28
16052,260194,3.1,71233,73184,39.6,0.9,6.8,0.1,3.6,37.2
338,3507,-1.9,1378,1447,0,0,0,0,0,0
160,1935,-5.9,747,930,30.6,0,0,0,4.4,0
2336,38273,-2.1,6777,6892,34,0,4.4,0,1.2,33.7
