SEX255214,White,Black,RHI325214,RHI425214,RHI525214,RHI625214,Hispanic,RHI825214
49.3,0.938,0.029,0.6,1.3,0.1,1.3,0.065,88.1
50.7,0.818,0.117,0.5,3.8,0.1,2.2,0.096,73.4
50.7,0.856,0.109,0.6,1,0.1,1.9,0.08,78.7
52.5,0.618,0.355,0.6,0.8,0,1.3,0.063,56.5
50.7,0.866,0.111,0.4,0.6,0,1.2,0.05,82.4
53,0.426,0.538,0.3,1.9,0.1,1.3,0.032,40.3
52.2,0.709,0.268,0.1,1,0,1.1,0.026,68.9
50.6,0.944,0.035,0.4,0.3,0,1.5,0.021,92.5
51.2,0.622,0.354,0.4,0.6,0.2,1.2,0.056,57.6
50.2,0.789,0.154,0.5,2,0.2,3,0.063,74
50.6,0.67,0.291,0.4,1.7,0.1,1.6,0.037,64.2
52,0.492,0.484,0.3,0.5,0.1,1.4,0.03,47
47.1,0.702,0.277,0.3,0.5,0,1.2,0.031,67.6
40,0.361,0.612,0.6,0.6,0.3,1.3,0.047,32.9
48.6,0.75,0.195,0.7,1.7,0.2,2.9,0.062,70
50.4,0.732,0.245,0.2,0.8,0.1,1.2,0.112,62.8
50.9,0.773,0.191,0.5,1,0.1,2,0.065,71.8
51.3,0.937,0.028,0.4,1.4,0.1,1.6,0.028,91.4
39.7,0.65,0.32,0.6,0.6,0,1.8,0.035,62.1
51.8,0.545,0.401,0.3,2.8,0.2,2.1,0.06,49.8
32.7,0.722,0.193,1.3,2.8,0.8,3.6,0.15,60
48.8,0.866,0.104,0.4,0.6,0.3,1.6,0.048,82.8
50.7,0.89,0.066,0.5,1.9,0.1,1.9,0.101,80.1
52.3,0.655,0.277,0.4,4.4,0.1,1.9,0.108,56
53.1,0.386,0.595,0.3,0.5,0.1,1,0.011,37.6
52.6,0.236,0.683,0.6,5.3,0.1,2.1,0.131,13.5
51,0.69,0.283,0.8,0.2,0.1,1.6,0.042,65.7
51.6,0.646,0.273,0.5,5.1,0.1,2.4,0.127,53.9
48.7,0.694,0.28,0.4,0.9,0.1,1.3,0.109,59.4
50.4,0.731,0.232,1.4,1,0.1,1.2,0.183,57.1
51.1,0.754,0.169,0.4,4.2,0.2,2.9,0.062,70.5
51.6,0.698,0.278,0.4,0.8,0.1,1.2,0.061,64.4
51.2,0.777,0.18,0.4,1.9,0.1,1.9,0.067,71.9
49.4,0.762,0.213,0.6,0.4,0.1,1.4,0.031,73.7
