votes_dem_2016,votes_gop_2016,total_votes_2016,AGE135214,AGE295214,age65plus,SEX255214,White,Black,RHI325214,RHI425214,RHI525214,RHI625214,Hispanic,RHI825214,POP715213,POP645213,NonEnglish,Edu_highschool,Edu_batchelors,VET605213,Income,INC110213,Poverty,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,Density
5530,12869,20159,7.3,27.2,14.8,50.2,0.921,0.025,2.2,1,0.3,1.8,0.549,40.8,82.2,14,38.6,77.7,18.4,4801,19492,39131,21.3,1443,17301,2,3083,4032,0,0,1.4,0,23,26.3,661458,0,836078,13392,92362,54,6065.28,10.8
3721,3179,7975,7.4,24.5,14.2,48.9,0.54,0.014,41.7,0.6,0.1,2.1,0.378,20.8,88.2,5.2,44.3,79.9,10.4,1858,16129,37237,27.6,329,5067,-2.2,1008,1513,0,14.4,1.7,0,22.1,26.6,0,15859,217448,7992,117318,0,4539.48,6
2118,2569,5271,4.8,19,23.7,49.1,0.936,0.009,2.6,0.5,0.2,2.1,0.49,47.5,84.9,4.4,21.5,86.6,19.8,1390,21387,37734,17.7,420,3225,-4.7,767,1363,0,0,0,0,18.6,21,0,45130,158777,12049,56884,13,3758.06,3.7
2776,7560,11292,8.6,27,11.5,48.1,0.861,0.07,2.1,1.7,0.2,2.9,0.397,50.3,79.2,8.2,24.6,81.5,20.4,5584,21259,39871,18.9,1049,12586,-2.8,1913,2745,1.8,0,0,0,0,26.4,0,171522,591302,13109,68312,141,1404.8,34.4
192,617,903,5.8,21.8,23.8,49.8,0.937,0.004,1.9,0.2,0,3.8,0.408,55.6,89.5,4.6,29.2,80.7,17.9,153,24879,37660,23.5,45,246,-5.4,102,179,0,0,0,0,0,0,0,0,12426,6641,0,0,2322.62,0.9
37543,25095,69324,7.2,25.4,14.2,50.8,0.921,0.022,2.3,1.3,0.2,1.8,0.668,28.8,82.4,17.1,51,77.5,26.6,16154,19565,37933,27,3554,49387,-0.5,12098,15497,0.8,2.2,0,0,42.1,29,931885,448203,1925550,9715,238748,617,3807.51,55
5008,13124,19523,7,26.3,13.9,49.5,0.931,0.019,2.4,0.8,0.1,1.7,0.464,49.6,86,5,30.8,80.9,16.7,4448,28438,49165,12.5,1335,21750,5.1,2437,3498,1.2,1.6,0.8,0,16.2,28.4,0,0,562792,10980,80485,336,4175.73,12.9
6226,5251,12633,5.5,20.8,24.1,50.5,0.934,0.012,2.3,0.8,0.1,2.2,0.496,47,87,4.5,31.8,83.7,24.2,3003,22755,37899,20.2,619,6921,0.9,1495,2244,0,0,0,0,10.2,25.4,0,0,261444,8747,35488,4,3961.63,7.4
962,591,1809,4.9,20.7,17.9,43.4,0.923,0.022,2.8,1.1,0,1.6,0.794,16.3,87.5,3.4,53.3,79.4,11.3,403,14198,29071,17.5,98,928,-5.9,156,286,0,0,0,0,38.1,0,0,0,109941,24941,16673,0,3030.48,1.5
156,311,527,4,14.8,30.7,47,0.959,0.007,1.5,0.7,0,1.2,0.43,54.9,88.8,2,25.7,89.8,21.4,103,25686,34063,16.7,9,22,0,52,0,0,0,0,0,0,0,0,0,1270,1789,276,0,2125.44,0.3
780,906,1836,6.5,23.3,19.1,49.4,0.957,0.013,1.2,0.6,0.1,1.1,0.572,40.2,88.7,5.9,37.1,78,14.1,338,18392,34080,24.3,89,791,-1.7,223,310,0,0,0,0,28.4,0,0,0,113382,22609,9853,0,3436.86,1.4
3877,12306,17369,8.6,30.4,10.4,48.5,0.914,0.044,1.9,0.6,0.1,1.6,0.557,38.5,87.4,15.5,41.9,71.3,13.3,3814,22484,50694,15,1708,25072,6.7,3071,4313,0.9,1,0,0,0,22.4,280360,376682,765930,13217,85079,276,4390.93,14.7
2329,5889,8856,4.9,18.6,26.3,50.3,0.93,0.01,3.8,0.5,0.2,1.5,0.315,63.7,86.8,6.7,22.6,86,23.6,2186,25449,43014,14.7,698,5264,0.3,1914,3100,0,0,0,0,16.8,27.3,0,0,245639,11791,60207,59,4831.09,4.2
5443,3329,10430,5.5,23.3,16.6,49.2,0.89,0.007,1.3,6.4,0.1,2.5,0.167,73.6,86.8,9.7,16.4,97,63.4,1809,51044,106686,4.4,377,0,0,1044,1496,0,0,2.7,0,6.1,49.3,0,0,97901,5279,17726,3,109.17,164.4
3195,3478,7245,7.6,25.9,20.8,50,0.935,0.017,2.3,0.8,0.2,1.5,0.649,32,83.5,15.6,49.5,68.5,13.8,2177,16114,29282,29.7,387,4194,-6.3,1006,1320,0,3.7,0,0,36.7,27.7,0,0,236777,8835,36899,7,2965.19,8.5
13162,4893,20791,9,30.7,10.6,52,0.186,0.01,76.8,0.9,0.1,2.5,0.14,9.8,93,2.7,56.7,73,11.2,3162,12679,30458,35,974,15502,-1.7,4138,5543,0,51.7,0,0,10.8,43.2,0,0,926423,13254,109149,4,5449.81,13.1
1533,662,2429,4.4,19.2,22.7,48.3,0.937,0.01,3.3,0.5,0,1.6,0.806,17.7,88.5,3.2,60.3,84.1,9.5,398,20543,28481,19.7,47,285,-4,306,409,0,0,0,0,0,0,0,0,14120,2799,0,0,1931.27,2.5
6033,11756,19636,7.6,24.2,16.4,49,0.839,0.042,7.3,1.5,0.3,2.9,0.365,50.8,81.8,11.7,28.6,83.7,16.6,8882,19880,39263,21.8,960,11709,0.7,3189,3801,0,1.7,1.9,0,19.4,32.9,0,0,527819,8338,92381,0,6613.21,9.6
1016,2208,3550,6.3,21.2,23.7,51.3,0.92,0.018,2.5,1.2,0.1,2.3,0.447,50.6,85,1,24.4,81.5,13.2,880,17936,30802,21.4,235,1944,1,353,443,0,0,0,0,19.2,16.3,0,1702,143904,16018,17946,0,2874.35,3.1
9534,3583,14767,7.1,24.3,16.5,50.8,0.784,0.009,18.1,0.7,0.2,1.8,0.716,13.1,91.6,6,62.6,79.2,16.4,2661,20014,40250,21.2,554,6249,-0.6,1899,2628,0,7.4,0,0,37.1,38.9,0,0,313533,7689,66753,0,5860.84,6.9
